Employee Number,Employee Name,Date of Birth,Sex,Citizenship,Race,State,Zip,Marital Status,Department,Manager Name,Position,Performance Rank,Performance Score,Pay Rate,Employee Source,Employment Status,Date of Hire,Date of Termination,Reason for Termination
0710007401,"Kinsella, Kathleen",1973-12-08,Female,US Citizen,White,MA,02170,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,22,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-09-26,2019-06-04,More Money
0903013071,"Kirill, Alexandra",1970-10-08,Female,US Citizen,White,MA,02127,Married,Production,Amy Dunn,Production Technician I,3,Fully Meets,24,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-09-26,2016-01-09,More Money
1304055683,"Knapp, Bradley  J",1977-11-10,Male,US Citizen,African American,MA,01721,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,14,On-campus Recruiting,Active,2018-02-17,,N/A
1311062610,"Kretschmer, John",1980-02-02,Male,US Citizen,Asian,MA,01801,Married,Production,Brannon Miller,Production Technician I,3,Fully Meets,21,Pay Per Click - Google,Active,2015-01-10,,N/A
1304055987,"Langton, Enrico",1986-12-09,Male,US Citizen,White,MA,02048,Married,Production,David Stanley,Production Technician I,3,Fully Meets,17,Newspager/Magazine,Active,2016-07-09,,N/A
1408069409,"Leach, Dallas",1979-01-17,Female,US Citizen,Asian,MA,01810,Single,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,19,Monster.com,Voluntarily Terminated,2015-09-26,2017-08-19,Return to School
1107027575,"LeBel, Jonathan  R",1981-10-18,Male,US Citizen,White,MA,02050,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,15,Social Networks - Facebook Twitter etc,Terminated for Cause,2015-02-21,2015-08-04,Attitude
1206042315,"Linares, Marilyn",1981-03-26,Female,US Citizen,White,MA,01886,Married,Production,Michael Albert,Production Technician I,0,N/A,15.25,Internet Search,Voluntarily Terminated,2015-07-05,2015-09-26,Unhappy
1101023353,"Lydon, Allison",1975-10-22,Female,US Citizen,African American,MA,02122,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,20,Website Banner Ads,Leave of Absence,2019-02-16,,N/A
1001138521,"Lynch, Lindsay",1973-02-14,Female,US Citizen,Hispanic,MA,01844,Single,Production,Webster Butler,Production Technician I,4,Exceeds,19,Diversity Job Fair,Voluntarily Terminated,2015-11-07,2019-11-14,Another Position / Career Change
1201031032,"MacLennan, Samuel",1972-11-09,Male,US Citizen,White,MA,01938,Widowed,Production,Amy Dunn,Production Technician I,0,N/A,15,Pay Per Click,Voluntarily Terminated,2016-09-24,2016-09-26,Working Hours
1209049259,"Mahoney, Lauren",1986-07-07,Female,US Citizen,White,MA,02189,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,17,Newspager/Magazine,Active,2018-01-06,,N/A
1308060754,"Mangal, Debbie",1974-11-07,Female,US Citizen,White,MA,02451,Married,Production,Brannon Miller,Production Technician I,3,Fully Meets,23,On-campus Recruiting,Active,2017-11-11,,N/A
1401064327,"Maurice, Shana",1977-11-22,Female,US Citizen,White,MA,02330,Married,Production,David Stanley,Production Technician I,3,Fully Meets,20,Other,Active,2015-05-31,,N/A
0909015167,"Mckenna, Sandy",1987-01-07,Female,US Citizen,African American,MA,02184,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,24,Monster.com,Active,2017-01-07,,N/A
1409070245,"Meads, Elizabeth",1968-05-30,Female,US Citizen,African American,MA,01760,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,14,Diversity Job Fair,Voluntarily Terminated,2016-04-02,2019-11-11,Another Position / Career Change
1109029256,"Medeiros, Jennifer",1976-09-22,Female,US Citizen,White,MA,02346,Single,Production,Michael Albert,Production Technician I,0,N/A,20,Monster.com,Active,2019-03-30,,N/A
1102024121,"Motlagh,  Dawn",1984-07-07,Female,US Citizen,White,MA,02453,Divorced,Production,Elijiah Gray,Production Technician I,3,Fully Meets,15,MBTA ads,Active,2017-04-01,,N/A
1204033041,"Ndzi, Colombui",1989-05-02,Male,US Citizen,African American,MA,02110,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,18,Diversity Job Fair,Voluntarily Terminated,2015-09-26,2018-04-04,Return to School
1204927150,"Ndzi, Horia",1983-03-28,Male,US Citizen,White,MA,02421,Married,Production,Amy Dunn,Production Technician I,3,Fully Meets,22,Employee Referral,Voluntarily Terminated,2017-04-01,2020-05-25,More Money
1302053044,"Newman, Richard",1977-04-08,Male,US Citizen,White,MA,02136,Married,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,21,On-campus Recruiting,Leave of Absence,2018-05-12,,N/A
1403066020,"Ngodup, Shari",1967-06-03,Female,US Citizen,Asian,MA,01810,Separated,Production,Brannon Miller,Production Technician I,4,Exceeds,15,Diversity Job Fair,Active,2017-04-01,,N/A
1203032357,"Nguyen, Lei-Ming",1984-07-07,Female,US Citizen,White,MA,02132,Single,Production,David Stanley,Production Technician I,3,Fully Meets,19,Vendor Referral,Active,2017-07-08,,N/A
1206044851,"O'hare, Lynn",1980-09-30,Female,US Citizen,Hispanic,MA,02152,Single,Production,Kissy Sullivan,Production Technician I,1,Performance Improvement Plan,18.5,Professional Society,Terminated for Cause,2018-03-31,2020-05-01,Performance
1404066949,"Osturnka, Adeel",1976-12-11,Male,US Citizen,White,MA,02478,Married,Production,Kelley Spirea,Production Technician I,4,Exceeds,16,On-campus Recruiting,Active,2017-09-30,,N/A
1103024335,"Owad, Clinton",1979-11-24,Male,US Citizen,African American,MA,01760,Single,Production,Michael Albert,Production Technician I,2,Needs Improvement,22,MBTA ads,Active,2018-02-17,,N/A
1109029531,"Panjwani, Nina",1979-05-01,Female,US Citizen,White,MA,02351,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,18,Social Networks - Facebook Twitter etc,Voluntarily Terminated,2015-02-07,2018-01-12,Another Position / Career Change
1307060058,"Pelech, Emil",1988-03-17,Male,US Citizen,African American,MA,02458,Single,Production,Webster Butler,Production Technician I,2,Needs Improvement,24,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-01-10,2016-12-28,Another Position / Career Change
1109029186,"Perry, Shakira",1986-07-20,Female,US Citizen,White,MA,02176,Single,Production,Amy Dunn,Production Technician I,3,Fully Meets,22,MBTA ads,Voluntarily Terminated,2015-05-16,2019-10-25,Medical Issues
1307059944,"Peterson, Kayla",1973-09-23,Female,US Citizen,White,MA,01749,Married,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,17,Search Engine - Google Bing Yahoo,Active,2014-04-26,,N/A
1305057440,"Pham, Hong",1988-03-06,Male,US Citizen,White,MA,02451,Married,Production,Brannon Miller,Production Technician I,3,Fully Meets,18,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-07-05,2016-11-30,More Money
1001735072,"Pitt, Brad",1981-11-23,Male,US Citizen,African American,MA,02451,Single,Production,David Stanley,Production Technician I,3,Fully Meets,17,Search Engine - Google Bing Yahoo,Active,2011-11-05,,N/A
1102024274,"Power, Morissa",1984-10-15,Female,Eligible NonCitizen,Asian,MA,01742,Divorced,Production,Kissy Sullivan,Production Technician I,0,N/A,19,Social Networks - Facebook Twitter etc,Voluntarily Terminated,2015-05-16,2015-06-04,Another Position / Career Change
1401064562,"Punjabhi, Louis",1961-06-19,Male,US Citizen,White,MA,02109,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,16,Employee Referral,Active,2018-01-06,,N/A
1011022926,"Purinton, Janine",1970-09-22,Female,US Citizen,White,MA,02474,Divorced,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,16,Billboard,Voluntarily Terminated,2016-09-24,2017-06-18,Unhappy
1208048229,"Rarrick, Quinn",1984-12-31,Male,US Citizen,White,MA,02478,Divorced,Production,Michael Albert,Production Technician I,3,Fully Meets,21,Pay Per Click - Google,Voluntarily Terminated,2015-09-26,2016-04-07,More Money
1211050793,"Rhoads, Thomas",1982-07-22,Male,US Citizen,White,MA,02176,Divorced,Production,Elijiah Gray,Production Technician I,3,Fully Meets,20,Professional Society,Voluntarily Terminated,2015-05-16,2020-01-15,Retire
1405067642,"Rivera, Haley",1973-01-12,Female,US Citizen,Asian,MA,02171,Married,Production,Webster Butler,Production Technician I,4,Exceeds,22,Search Engine - Google Bing Yahoo,Active,2015-11-28,,N/A
1206038000,"Robinson, Alain",1974-01-07,Male,US Citizen,African American,MA,01420,Married,Production,Amy Dunn,Production Technician I,3,Fully Meets,24,Glassdoor,Voluntarily Terminated,2015-01-10,2020-01-26,Attitude
1403065625,"Robinson, Cherly",1985-01-07,Female,US Citizen,White,MA,01460,Married,Production,Ketsia Liebig,Production Technician I,2,Needs Improvement,16,Glassdoor,Terminated for Cause,2015-01-10,2020-05-17,Attitude
1011022887,"Robinson, Elias",1985-01-28,Male,US Citizen,White,MA,01730,Widowed,Production,Brannon Miller,Production Technician I,5,Exceptional,17,Employee Referral,Active,2017-07-08,,N/A
0710007555,"Rose, Ashley",1974-12-05,Female,US Citizen,White,MA,01886,Separated,Production,David Stanley,Production Technician I,3,Fully Meets,17,Website Banner Ads,Active,2018-01-06,,N/A
1405067492,"Rossetti, Bruno",1987-03-18,Male,US Citizen,White,MA,02155,Single,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,18,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-04-04,2016-08-13,Another Position / Career Change
1410070998,"Saar-Beckles, Melinda",1968-06-06,Female,US Citizen,African American,MA,01801,Single,Production,Kelley Spirea,Production Technician I,0,N/A,20,Diversity Job Fair,Active,2020-07-04,,N/A
1308060535,"Sadki, Nore",1974-12-21,Male,US Citizen,White,MA,02148,Single,Production,Michael Albert,Production Technician I,3,Fully Meets,21,Word of Mouth,Voluntarily Terminated,2013-01-05,2014-07-30,Relocation out of Area
1302053362,"Sander, Kamrin",1988-07-10,Female,US Citizen,African American,MA,02154,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,On-campus Recruiting,Active,2018-09-29,,N/A
0807010161,"Sewkumar, Nori",1975-03-10,Female,US Citizen,Asian,MA,02191,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,15.2,Search Engine - Google Bing Yahoo,Leave of Absence,2017-09-30,,N/A
1205033102,"Shields, Seffi",1985-08-24,Female,US Citizen,White,MA,02149,Married,Production,Amy Dunn,Production Technician I,3,Fully Meets,15,Newspager/Magazine,Active,2017-08-19,,N/A
1501071909,"Smith, Sade",1965-02-02,Female,US Citizen,White,MA,02130,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,24.5,Employee Referral,Active,2017-11-11,,N/A
1410071137,"Sparks, Taylor",1968-07-20,Female,US Citizen,White,MA,02093,Married,Production,Brannon Miller,Production Technician I,1,Performance Improvement Plan,16,Billboard,Active,2016-02-20,,N/A
1405067138,"Squatrito, Kristen",1973-03-26,Female,US Citizen,White,MA,02359,Divorced,Production,David Stanley,Production Technician I,4,Exceeds,21,MBTA ads,Voluntarily Terminated,2017-05-13,2019-06-29,Unhappy
1111030244,"Stanford,Barbara  M",1982-08-25,Female,US Citizen,Hispanic,MA,02050,Divorced,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,14,Word of Mouth,Active,2015-01-10,,N/A
1106026896,"Stoica, Rick",1985-03-14,Male,US Citizen,Asian,MA,02301,Married,Production,Kelley Spirea,Production Technician I,3,Fully Meets,22,On-campus Recruiting,Active,2018-02-17,,N/A
1201031310,"Sullivan, Timothy",1982-10-07,Male,US Citizen,White,MA,02747,Married,Production,Michael Albert,Production Technician I,3,Fully Meets,19,Word of Mouth,Active,2019-01-05,,N/A
1407069061,"Sutwell, Barbara",1968-08-15,Female,Eligible NonCitizen,Asian,MA,02718,Single,Production,Elijiah Gray,Production Technician I,3,Fully Meets,14,Glassdoor,Active,2016-05-14,,N/A
1405067501,"Tavares, Desiree",1975-04-03,Female,Non-Citizen,Hispanic,MA,01801,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,15,Diversity Job Fair,Voluntarily Terminated,2013-04-27,2017-04-01,Another Position / Career Change
1404066739,"Theamstern, Sophia",1965-05-09,Female,US Citizen,White,MA,02066,Single,Production,Amy Dunn,Production Technician I,0,N/A,20,Billboard,Voluntarily Terminated,2015-07-05,2015-09-05,Return to School
1103024504,"Tinto, Theresa",1983-07-30,Female,US Citizen,White,MA,01876,Divorced,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,20,Social Networks - Facebook Twitter etc,Voluntarily Terminated,2015-01-10,2015-05-14,Another Position / Career Change
1409070255,"Tippett, Jeanette",1967-06-05,Female,US Citizen,African American,MA,02093,Divorced,Production,Brannon Miller,Production Technician I,3,Fully Meets,24,Billboard,Active,2017-02-18,,N/A
1012023152,"Trang, Mei",1983-05-16,Female,US Citizen,White,MA,02021,Single,Production,David Stanley,Production Technician I,0,N/A,22,Professional Society,Active,2018-02-17,,N/A
1203032235,"Veera, Abdellah",1987-01-31,Male,US Citizen,White,MA,02171,Divorced,Production,Kissy Sullivan,Production Technician I,4,Exceeds,19,Information Session,Voluntarily Terminated,2016-08-13,2020-02-05,No Return after Maternity Leave
1011022814,"Volk, Colleen",1986-06-03,Female,US Citizen,White,MA,02747,Married,Production,Kelley Spirea,Production Technician I,4,Exceeds,21,Social Networks - Facebook Twitter etc,Terminated for Cause,2015-09-26,2020-02-08,Gross Misconduct
1106026474,"Von Massenbach, Anna",1985-04-06,Female,US Citizen,White,MA,02124,Single,Production,Michael Albert,Production Technician I,0,N/A,20,Newspager/Magazine,Active,2019-07-05,,N/A
1101023619,"Wallace, Theresa",1980-08-02,Female,US Citizen,White,MA,01887,Single,Production,Elijiah Gray,Production Technician I,2,Needs Improvement,15,Monster.com,Voluntarily Terminated,2016-08-13,2019-09-01,Another Position / Career Change
1307060212,"Whittier, Scott",1987-05-24,Male,US Citizen,White,MA,02030,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,23,Newspager/Magazine,Voluntarily Terminated,2015-01-10,2015-05-15,Working Hours
1101023839,"Wilber, Barry",1965-09-09,Male,Eligible NonCitizen,White,MA,02324,Married,Production,Amy Dunn,Production Technician I,3,Fully Meets,21,Website Banner Ads,Voluntarily Terminated,2015-05-16,2019-09-07,Unhappy
1308060671,"Williams, Jacquelyn",1969-10-02,Female,US Citizen,Hispanic,MA,02109,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,16,Diversity Job Fair,Voluntarily Terminated,2016-01-09,2019-06-27,Relocation out of Area
1001268402,"Ybarra, Catherine",1982-05-04,Female,US Citizen,Asian,MA,02458,Single,Production,Brannon Miller,Production Technician I,1,Performance Improvement Plan,22,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2012-09-02,2019-09-29,Another Position / Career Change
1211051232,"Zima, Colleen",1978-08-17,Female,US Citizen,Asian,MA,01730,Widowed,Production,David Stanley,Production Technician I,3,Fully Meets,15,On-campus Recruiting,Active,2018-09-29,,N/A
1005019209,"Akinkuolie, Sarah",1988-09-19,Female,US Citizen,White,MA,01810,Married,Production,Kissy Sullivan,Production Technician II,3,Fully Meets,29,Newspager/Magazine,Voluntarily Terminated,2015-07-05,2016-09-24,Working Hours
1303054329,"Beak, Kimberly",1966-04-17,Female,US Citizen,White,MA,02145,Married,Production,Kelley Spirea,Production Technician II,4,Exceeds,27,Employee Referral,Active,2020-07-21,,N/A
1403066125,"Blount, Dianna",1990-09-21,Female,US Citizen,White,MA,02171,Single,Production,Michael Albert,Production Technician II,2,Needs Improvement,27,Monster.com,Active,2015-04-04,,N/A
1008021030,"Bondwell, Betsy",1967-01-16,Female,US Citizen,White,MA,02210,Single,Production,Elijiah Gray,Production Technician II,3,Fully Meets,26,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-01-10,2018-04-04,Another Position / Career Change
1101023457,"Buccheri, Joseph",1983-07-28,Male,US Citizen,White,MA,01013,Single,Production,Webster Butler,Production Technician II,3,Fully Meets,22,Word of Mouth,Active,2018-09-29,,N/A
1011022820,"Burke, Joelle",1980-03-02,Female,US Citizen,African American,MA,02148,Single,Production,Amy Dunn,Production Technician II,3,Fully Meets,25,Employee Referral,Active,2016-03-05,,N/A
1301052449,"Burkett, Benjamin",1977-08-19,Male,US Citizen,White,MA,01890,Married,Production,Ketsia Liebig,Production Technician II,3,Fully Meets,26,Careerbuilder,Active,2015-04-04,,N/A
1012023226,"Cloninger, Jennifer",1981-08-31,Female,US Citizen,White,MA,01752,Married,Production,Brannon Miller,Production Technician II,3,Fully Meets,25,Word of Mouth,Voluntarily Terminated,2015-05-16,2017-01-07,Unhappy
1209048697,"Close, Phil",1978-11-25,Male,US Citizen,White,MA,02169,Married,Production,David Stanley,Production Technician II,3,Fully Meets,26,Other,Voluntarily Terminated,2014-08-30,2015-09-26,Another Position / Career Change
1201031274,"Davis, Daniel",1979-09-14,Male,Eligible NonCitizen,Hispanic,MA,02458,Single,Production,Kissy Sullivan,Production Technician II,3,Fully Meets,25,Newspager/Magazine,Active,2015-11-07,,N/A
1104025179,"Demita, Carla",1951-02-25,Female,US Citizen,African American,MA,02343,Separated,Production,Kelley Spirea,Production Technician II,3,Fully Meets,29,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-04-04,2019-11-04,More Money
1105025661,"Erilus, Angela",1989-08-25,Female,US Citizen,White,MA,02133,Separated,Production,Michael Albert,Production Technician II,1,Performance Improvement Plan,24,Pay Per Click - Google,Active,2018-07-07,,N/A
1108028428,"Faller, Megan",1978-09-22,Female,US Citizen,African American,MA,01824,Married,Production,Elijiah Gray,Production Technician II,3,Fully Meets,27,Professional Society,Active,2018-07-07,,N/A
1402065085,"Fancett, Nicole",1987-09-27,Female,US Citizen,African American,MA,02324,Single,Production,Webster Butler,Production Technician II,3,Fully Meets,24,Newspager/Magazine,Active,2018-02-17,,N/A
1109029103,"Fitzpatrick, Michael  J",1981-10-01,Male,US Citizen,White,MA,02143,Single,Production,Amy Dunn,Production Technician II,3,Fully Meets,29,Social Networks - Facebook Twitter etc,Voluntarily Terminated,2015-05-16,2017-06-24,Working Hours
1012023204,"Foreman, Tanya",1983-11-08,Female,US Citizen,White,MA,02170,Married,Production,Ketsia Liebig,Production Technician II,3,Fully Meets,24,Word of Mouth,Voluntarily Terminated,2015-04-04,2016-01-09,Another Position / Career Change
1411071324,"Gonzalez, Juan",1964-10-12,Male,US Citizen,African American,MA,02128,Married,Production,Brannon Miller,Production Technician II,1,Performance Improvement Plan,29,Diversity Job Fair,Voluntarily Terminated,2014-04-26,2015-05-30,Another Position / Career Change
1001549006,"Good, Susan",1986-05-25,Female,US Citizen,White,MA,01886,Married,Production,David Stanley,Production Technician II,3,Fully Meets,24.25,Professional Society,Leave of Absence,2018-05-12,,N/A
1108028351,"Gosciminski, Phylicia",1983-12-08,Female,US Citizen,Hispanic,MA,01824,Separated,Production,Kissy Sullivan,Production Technician II,3,Fully Meets,27,Word of Mouth,Leave of Absence,2017-09-30,,N/A
1307059937,"Hankard, Earnest",1988-08-10,Male,US Citizen,White,MA,02155,Single,Production,Kelley Spirea,Production Technician II,3,Fully Meets,24,Newspager/Magazine,Active,2017-11-11,,N/A
1011022932,"Hendrickson, Trina",1972-08-27,Female,US Citizen,White,MA,02021,Single,Production,Kelley Spirea,Production Technician II,3,Fully Meets,24,Monster.com,Voluntarily Terminated,2015-01-10,2017-02-18,Working Hours
1207046956,"Homberger, Adrienne  J",1984-02-16,Female,Non-Citizen,White,MA,02445,Married,Production,Michael Albert,Production Technician II,3,Fully Meets,28,Glassdoor,Voluntarily Terminated,2015-08-15,2016-04-07,Relocation out of Area
1106026433,"Hunts, Julissa",1984-03-11,Female,US Citizen,White,MA,02021,Single,Production,Elijiah Gray,Production Technician II,0,N/A,25,Vendor Referral,Active,2020-06-06,,N/A
1103024924,"Hutter, Rosalie",1992-05-07,Female,US Citizen,White,MA,02351,Separated,Production,Webster Butler,Production Technician II,0,N/A,28,Other,Active,2019-06-05,,N/A
1306058509,"Huynh, Ming",1976-09-22,Female,US Citizen,White,MA,01742,Divorced,Production,Amy Dunn,Production Technician II,3,Fully Meets,23,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-02-21,2017-04-01,Unhappy
1008020942,"Jeannite, Tayana",1986-11-06,Female,US Citizen,Hispanic,MA,01821,Divorced,Production,Ketsia Liebig,Production Technician II,4,Exceeds,22.5,MBTA ads,Active,2015-07-05,,N/A
1306057810,"Johnston, Yen",1969-09-08,Female,US Citizen,White,MA,02128,Single,Production,Brannon Miller,Production Technician II,5,Exceptional,25,Professional Society,Active,2018-07-07,,N/A
1010022030,"Langford, Lindsey",1979-07-25,Female,US Citizen,Asian,MA,02090,Divorced,Production,David Stanley,Production Technician II,3,Fully Meets,22,Glassdoor,Voluntarily Terminated,2017-01-07,2018-03-31,Another Position / Career Change
1104025486,"Latif, Mohammed",1984-05-09,Male,US Citizen,White,MA,02126,Married,Production,Kissy Sullivan,Production Technician II,3,Fully Meets,28,Word of Mouth,Voluntarily Terminated,2016-04-02,2017-04-15,More Money
1405067565,"Linden, Mathew",1979-03-19,Male,US Citizen,White,MA,01770,Married,Production,Kelley Spirea,Production Technician II,3,Fully Meets,22,Information Session,Leave of Absence,2017-07-08,,N/A
1305056276,"Lundy, Susan",1976-12-26,Female,US Citizen,White,MA,02122,Widowed,Production,Michael Albert,Production Technician II,0,N/A,24,On-campus Recruiting,Voluntarily Terminated,2017-07-08,2017-09-15,More Money
1001504432,"Lunquist, Lisa",1982-03-28,Female,US Citizen,African American,MA,02324,Single,Production,Elijiah Gray,Production Technician II,4,Exceeds,26.1,Glassdoor,Active,2017-08-19,,N/A
1110029623,"Manchester, Robyn",1976-08-25,Female,US Citizen,White,MA,02324,Married,Production,Webster Butler,Production Technician II,0,N/A,23,Vendor Referral,Active,2020-05-11,,N/A
1304055986,"Mancuso, Karen",1986-12-10,Female,US Citizen,Hispanic,MA,02176,Married,Production,Amy Dunn,Production Technician II,0,N/A,23,Newspager/Magazine,Voluntarily Terminated,2015-07-05,2015-08-19,Another Position / Career Change
1406067957,"McCarthy, Brigit",1987-05-21,Female,US Citizen,White,MA,02149,Single,Production,Ketsia Liebig,Production Technician II,0,N/A,26,Newspager/Magazine,Active,2019-03-30,,N/A
1205033439,"Miller, Ned",1985-06-29,Male,US Citizen,White,MA,02472,Single,Production,Brannon Miller,Production Technician II,1,Performance Improvement Plan,25,MBTA ads,Voluntarily Terminated,2015-08-15,2018-09-04,Unhappy
1404066711,"Monkfish, Erasumus",1992-08-17,Male,US Citizen,White,MA,01450,Married,Production,David Stanley,Production Technician II,3,Fully Meets,27,Professional Society,Active,2015-11-07,,N/A
1001103149,"Monterro, Luisa",1970-04-24,Female,US Citizen,African American,MA,02126,Single,Production,Kissy Sullivan,Production Technician II,5,Exceptional,25,Billboard,Active,2017-05-13,,N/A
1408069503,"Moran, Patrick",1976-12-03,Male,US Citizen,Hispanic,MA,02127,Single,Production,Kelley Spirea,Production Technician II,3,Fully Meets,26,Diversity Job Fair,Leave of Absence,2016-01-09,,N/A
1301052436,"Moumanil, Maliki",1974-12-01,Male,US Citizen,African American,MA,01460,Separated,Production,Michael Albert,Production Technician II,3,Fully Meets,29,On-campus Recruiting,Active,2017-05-13,,N/A
1104025435,"Nowlan, Kristie",1985-11-23,Female,US Citizen,White,MA,01040,Single,Production,Elijiah Gray,Production Technician II,3,Fully Meets,26.39,Glassdoor,Active,2018-11-10,,N/A
1001856521,"Oliver, Brooke",1952-02-11,Female,US Citizen,Asian,MA,02492,Married,Production,Webster Butler,Production Technician II,3,Fully Meets,25,Newspager/Magazine,Voluntarily Terminated,2016-05-14,2017-08-19,Unhappy
1202031821,"Pelletier, Ermine",1989-07-18,Female,US Citizen,Asian,MA,02472,Married,Production,Amy Dunn,Production Technician II,0,N/A,28,Monster.com,Voluntarily Terminated,2015-07-05,2015-09-15,Unhappy
1411071406,"Peters, Lauren",1986-08-17,Female,US Citizen,White,MA,01886,Married,Production,Ketsia Liebig,Production Technician II,4,Exceeds,29,Pay Per Click - Google,Voluntarily Terminated,2015-05-16,2016-02-04,More Money
1103024843,"Petingill, Shana",1979-03-10,Female,Eligible NonCitizen,Asian,MA,02050,Married,Production,Brannon Miller,Production Technician II,3,Fully Meets,26,MBTA ads,Active,2016-04-02,,N/A
1402065340,"Roberson, May",1981-09-05,Female,Eligible NonCitizen,White,MA,01902,Divorced,Production,David Stanley,Production Technician II,0,N/A,26,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-09-26,2015-10-22,Return to School
1499902991,"Robertson, Peter",1972-07-03,Male,US Citizen,White,MA,02138,Married,Production,Kissy Sullivan,Production Technician II,3,Fully Meets,22,Glassdoor,Voluntarily Terminated,2015-07-05,2016-02-08,Another Position / Career Change
1106026462,"Sahoo, Adil",1986-04-26,Male,US Citizen,White,MA,02062,Married,Production,Kelley Spirea,Production Technician II,3,Fully Meets,29,Monster.com,Active,2014-08-30,,N/A
1012023103,"Sloan, Constance",1987-11-25,Female,US Citizen,White,MA,01851,Single,Production,Michael Albert,Production Technician II,3,Fully Meets,23,Monster.com,Voluntarily Terminated,2013-10-26,2019-04-08,No Return after Maternity Leave
1001970770,"Smith, Joe",1963-10-30,Male,US Citizen,White,MA,02045,Single,Production,Elijiah Gray,Production Technician II,4,Exceeds,22,Pay Per Click - Google,Active,2018-09-29,,N/A
1406068345,"Tejeda, Lenora",1953-05-24,Female,US Citizen,White,MA,02129,Married,Production,Elijiah Gray,Production Technician II,3,Fully Meets,28.75,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-05-16,2016-07-08,Another Position / Career Change
1011022777,"Thibaud, Kenneth",1975-09-16,Male,US Citizen,White,MA,02472,Widowed,Production,Webster Butler,Production Technician II,3,Fully Meets,23,Pay Per Click - Google,Voluntarily Terminated,2011-06-25,2014-08-30,Military
1107027551,"Trzeciak, Cybil",1985-03-15,Female,US Citizen,White,MA,01778,Single,Production,Amy Dunn,Production Technician II,3,Fully Meets,22,Vendor Referral,Voluntarily Terminated,2015-01-10,2016-07-02,Unhappy
1011022818,"Walker, Roger",1976-02-10,Male,US Citizen,African American,MA,02459,Single,Production,Ketsia Liebig,Production Technician II,3,Fully Meets,22,Employee Referral,Active,2018-08-18,,N/A
1405067188,"Winthrop, Jordan",1958-11-07,Male,US Citizen,White,MA,02045,Single,Production,Brannon Miller,Production Technician II,4,Exceeds,29,Professional Society,Voluntarily Terminated,2017-01-07,2020-02-21,Retire
1205033180,"Wolk, Hang  T",1985-04-20,Female,US Citizen,White,MA,02302,Single,Production,David Stanley,Production Technician II,3,Fully Meets,22,Newspager/Magazine,Active,2018-09-29,,N/A
1012023010,"Woodson, Jason",1985-05-11,Male,US Citizen,White,MA,01810,Single,Production,Kissy Sullivan,Production Technician II,3,Fully Meets,24.25,Vendor Referral,Active,2018-07-07,,N/A
1504073313,"Buck, Edward",1975-07-07,Male,US Citizen,White,MA,02330,Married,Sales,Lynn Daneault,Area Sales Manager,3,Fully Meets,55,Employee Referral,Active,2018-09-29,,N/A
1504073368,"Bunbury, Jessica",1964-06-01,Female,Eligible NonCitizen,African American,VA,21851,Married,Sales,John Smith,Area Sales Manager,3,Fully Meets,55,Social Networks - Facebook Twitter etc,Voluntarily Terminated,2015-08-15,2018-08-02,Another Position / Career Change
1403065721,"Carter, Michelle",1963-05-15,Female,US Citizen,White,VT,05664,Single,Sales,John Smith,Area Sales Manager,3,Fully Meets,55,Billboard,Active,2018-08-18,,N/A
1409070567,"Costa, Latia",1988-11-08,Female,US Citizen,White,CA,90007,Single,Sales,Lynn Daneault,Area Sales Manager,4,Exceeds,55,Other,Active,2015-01-10,,N/A
